Date,Meals_Requested
2021-01-01,6026
2021-01-02,5497
2021-01-03,4648
2021-01-04,4687
2021-01-05,4557
2021-01-06,4804
2021-01-07,5146
2021-01-08,5149
2021-01-09,4861
2021-01-10,4781
2021-01-11,4779
2021-01-12,4142
2021-01-13,6627
2021-01-14,6693
2021-01-15,6800
2021-01-16,5985
2021-01-17,5956
2021-01-18,4240
2021-01-19,4025
2021-01-20,4538
2021-01-21,4284
2021-01-22,4389
2021-01-23,4260
2021-01-24,4189
2021-01-25,4578
2021-01-26,4693
2021-01-27,5151
2021-01-28,4172
2021-01-29,4105
2021-01-30,5061
2021-01-31,4298
2021-02-01,4459
2021-02-02,4841
2021-02-03,4570
2021-02-04,4853
2021-02-05,5043
2021-02-06,4882
2021-02-07,4497
2021-02-08,4638
2021-02-09,4855
2021-02-10,4434
2021-02-11,4670
2021-02-12,4981
2021-02-13,5057
2021-02-14,4682
2021-02-15,4764
2021-02-16,4165
2021-02-17,4181
2021-02-18,4620
2021-02-19,4396
2021-02-20,4727
2021-02-21,4313
2021-02-22,3843
2021-02-23,3749
2021-02-24,4043
2021-02-25,3969
2021-02-26,4430
2021-02-27,4410
2021-02-28,4520
2021-03-01,4884
2021-03-02,4517
2021-03-03,4110
2021-03-04,5040
2021-03-05,4814
2021-03-06,4540
2021-03-07,5601
2021-03-08,6709
2021-03-09,5757
2021-03-10,5831
2021-03-11,7031
2021-03-12,6865
2021-03-13,5642
2021-03-14,4501
2021-03-15,4464
2021-03-16,4132
2021-03-17,4442
2021-03-18,4619
2021-03-19,4966
2021-03-20,4552
2021-03-21,5275
2021-03-22,3912
2021-03-23,4153
2021-03-24,4451
2021-03-25,4161
2021-03-26,4514
2021-03-27,4730
2021-03-28,4157
2021-03-29,4776
2021-03-30,4122
2021-03-31,4633
2021-04-01,5483
2021-04-02,5813
2021-04-03,5203
2021-04-04,5386
2021-04-05,4458
2021-04-06,4325
2021-04-07,4400
2021-04-08,5520
2021-04-09,5695
2021-04-10,5421
2021-04-11,5472
2021-04-12,4830
2021-04-13,5535
2021-04-14,5637
2021-04-15,6257
2021-04-16,7068
2021-04-17,6816
2021-04-18,5782
2021-04-19,4383
2021-04-20,4351
2021-04-21,4589
2021-04-22,5055
2021-04-23,5562
2021-04-24,5245
2021-04-25,4869
2021-04-26,4675
2021-04-27,4577
2021-04-28,4777
2021-04-29,4881
2021-04-30,5564
2021-05-01,8449
2021-05-02,7105
2021-05-03,7595
2021-05-04,7491
2021-05-05,7000
2021-05-06,5326
2021-05-07,5976
2021-05-08,5788
2021-05-09,5147
2021-05-10,5496
2021-05-11,5430
2021-05-12,4862
2021-05-13,5460
2021-05-14,5550
2021-05-15,5116
2021-05-16,4859
2021-05-17,5315
2021-05-18,20093
2021-05-19,22324
2021-05-20,24703
2021-05-21,24017
2021-05-22,24032
2021-05-23,4746
2021-05-24,4888
2021-05-25,4425
2021-05-26,5246
2021-05-27,5227
2021-05-28,5727
2021-05-29,5890
2021-05-30,5301
2021-05-31,5518
2021-06-01,5314
2021-06-02,5940
2021-06-03,6869
2021-06-04,6347
2021-06-05,6019
2021-06-06,5695
2021-06-07,5640
2021-06-08,5276
2021-06-09,5187
2021-06-10,6608
2021-06-11,6147
2021-06-12,6282
2021-06-13,5348
2021-06-14,5659
2021-06-15,5185
2021-06-16,6003
2021-06-17,5589
2021-06-18,6379
2021-06-19,6024
2021-06-20,4989
2021-06-21,5175
2021-06-22,5524
2021-06-23,5787
2021-06-24,5144
2021-06-25,6053
2021-06-26,6114
2021-06-27,5527
2021-06-28,5574
2021-06-29,5209
2021-06-30,5104
2021-07-01,6502
2021-07-02,6594
2021-07-03,6918
2021-07-04,5989
2021-07-05,5773
2021-07-06,6266
2021-07-07,5344
2021-07-08,6922
2021-07-09,6407
2021-07-10,9858
2021-07-11,9314
2021-07-12,8981
2021-07-13,8657
2021-07-14,9239
2021-07-15,6327
2021-07-16,6493
2021-07-17,6455
2021-07-18,5911
2021-07-19,5438
2021-07-20,5069
2021-07-21,5633
2021-07-22,5925
2021-07-23,6240
2021-07-24,6669
2021-07-25,5611
2021-07-26,5360
2021-07-27,5369
2021-07-28,13028
2021-07-29,16618
2021-07-30,16844
2021-07-31,14357
2021-08-01,14509
2021-08-02,14979
2021-08-03,12898
2021-08-04,13698
2021-08-05,15966
2021-08-06,14242
2021-08-07,16100
2021-08-08,8670
2021-08-09,7688
2021-08-10,7445
2021-08-11,7046
2021-08-12,7026
2021-08-13,7616
2021-08-14,9341
2021-08-15,9412
2021-08-16,7560
2021-08-17,6297
2021-08-18,6103
2021-08-19,6268
2021-08-20,6680
2021-08-21,6179
2021-08-22,5554
2021-08-23,5430
2021-08-24,5479
2021-08-25,6757
2021-08-26,19431
2021-08-27,21555
2021-08-28,21959
2021-08-29,19002
2021-08-30,17125
2021-08-31,18180
2021-09-01,15202
2021-09-02,15233
2021-09-03,15500
2021-09-04,15396
2021-09-05,21906
2021-09-06,19312
2021-09-07,18808
2021-09-08,19907
2021-09-09,22624
2021-09-10,22430
2021-09-11,22936
2021-09-12,19813
2021-09-13,20933
2021-09-14,19339
2021-09-15,19143
2021-09-16,15206
2021-09-17,16165
2021-09-18,7851
2021-09-19,7776
2021-09-20,6374
2021-09-21,6374
2021-09-22,6451
2021-09-23,7150
2021-09-24,6964
2021-09-25,6587
2021-09-26,6189
2021-09-27,5926
2021-09-28,5471
2021-09-29,5821
2021-09-30,6136
2021-10-01,9025
2021-10-02,7765
2021-10-03,7516
2021-10-04,7711
2021-10-05,7308
2021-10-06,28422
2021-10-07,8388
2021-10-08,7566
2021-10-09,7874
2021-10-10,8016
2021-10-11,8390
2021-10-12,8023
2021-10-13,7928
2021-10-14,8544
2021-10-15,8191
2021-10-16,6037
2021-10-17,5061
2021-10-18,5302
2021-10-19,5083
2021-10-20,5846
2021-10-21,4930
2021-10-22,5465
2021-10-23,5384
2021-10-24,10675
2021-10-25,32855
2021-10-26,27465
2021-10-27,33759
2021-10-28,35503
2021-10-29,39730
2021-10-30,31371
2021-10-31,30491
2021-11-01,13397
2021-11-02,12028
2021-11-03,12160
2021-11-04,11635
2021-11-05,12707
2021-11-06,12826
2021-11-07,13019
2021-11-08,13879
2021-11-09,11340
2021-11-10,57486
2021-11-11,58128
2021-11-12,14830
2021-11-13,12738
2021-11-14,12078
2021-11-15,11604
2021-11-16,6636
2021-11-17,5729
2021-11-18,8955
2021-11-19,7846
2021-11-20,8337
2021-11-21,5637
2021-11-22,6192
2021-11-23,4954
2021-11-24,4368
2021-11-25,5702
2021-11-26,5126
2021-11-27,5659
2021-11-28,5048
2021-11-29,4781
2021-11-30,4346
2021-12-01,5158
2021-12-02,5524
2021-12-03,5388
2021-12-04,5237
2021-12-05,5139
2021-12-06,5835
2021-12-07,4297
2021-12-08,4935
2021-12-09,5562
2021-12-10,5425
2021-12-11,5751
2021-12-12,5399
2021-12-13,9668
2021-12-14,8794
2021-12-15,8809
2021-12-16,9315
2021-12-17,9645
2021-12-18,8706
2021-12-19,8701
2021-12-20,8268
2021-12-21,8314
2021-12-22,8537
2021-12-23,11929
2021-12-24,12799
2021-12-25,12289
2021-12-26,10509
2021-12-27,8489
2021-12-28,7668
2021-12-29,8604
2021-12-31,9689
2022-01-01,9758
2022-01-02,9777
2022-01-03,8976
2022-01-04,17602
2022-01-05,19057
2022-01-06,19122
2022-01-07,9469
2022-01-08,9183
2022-01-09,9837
2022-01-10,44450
2022-01-11,9585
2022-01-12,9848
2022-01-13,11716
2022-01-14,13324
2022-01-15,13633
2022-01-16,12268
2022-01-17,10677
2022-01-18,8202
2022-01-19,8308
2022-01-20,8282
2022-01-21,9797
2022-01-22,8199
2022-01-23,8551
2022-01-24,7750
2022-01-25,9550
2022-01-26,10267
2022-01-27,9384
2022-01-28,9778
2022-01-29,8660
2022-01-30,8808
2022-01-31,8387
2022-02-01,8627
2022-02-02,5820
2022-02-03,6230
2022-02-04,6007
2022-02-05,5897
2022-02-06,5260
2022-02-07,5425
2022-02-08,5153
2022-02-09,5099
2022-02-10,5586
2022-02-11,5897
2022-02-12,5658
2022-02-13,5815
2022-02-14,5138
2022-02-15,5285
2022-02-16,5409
2022-02-17,4865
2022-02-18,5501
2022-02-19,4883
2022-02-20,4849
2022-02-21,4589
2022-02-22,4122
2022-02-23,4503
2022-02-24,5162
2022-02-25,5143
2022-02-26,5189
2022-02-27,4600
2022-02-28,4855
2022-03-01,4744
2022-03-02,4650
2022-03-03,4690
2022-03-04,5221
2022-03-05,4900
2022-03-06,4951
2022-03-07,6428
2022-03-08,6125
2022-03-09,6657
2022-03-10,6847
2022-03-11,7184
2022-03-12,6844
2022-03-14,4653
2022-03-15,4199
2022-03-16,4417
2022-03-17,4715
2022-03-18,4398
2022-03-19,5034
2022-03-20,4644
2022-03-21,4437
2022-03-22,4534
2022-03-23,3963
2022-03-24,4533
2022-03-25,4723
2022-03-26,4736
2022-03-27,4763
2022-03-28,4480
2022-03-29,3822
2022-03-30,10383
2022-03-31,63341
2022-04-01,73896
2022-04-02,68385
2022-04-03,73133
2022-04-04,63306
2022-04-05,4724
2022-04-06,5498
2022-04-07,4936
2022-04-08,5919
2022-04-09,5500
2022-04-10,5901
2022-04-11,5342
2022-04-12,4829
2022-04-13,5996
2022-04-14,6397
2022-04-15,6817
2022-04-16,6409
2022-04-17,6149
2022-04-18,6936
2022-04-19,4560
2022-04-20,4649
2022-04-21,4751
2022-04-22,5173
2022-04-23,4944
2022-04-24,5026
2022-04-25,4899
2022-04-26,4709
2022-04-27,4351
2022-04-28,5067
2022-04-29,5637
2022-04-30,5058
2022-05-01,8227
2022-05-02,8464
2022-05-03,7416
2022-05-04,8064
2022-05-05,8418
2022-05-06,5772
2022-05-07,6326
2022-05-08,5007
2022-05-09,5509
2022-05-10,4986
2022-05-11,5804
2022-05-12,5711
2022-05-13,6096
2022-05-14,5743
2022-05-15,5731
2022-05-16,5163
2022-05-17,4591
2022-05-18,5085
2022-05-19,5005
2022-05-20,5564
2022-05-21,5337
2022-05-22,5177
2022-05-23,5032
2022-05-24,4817
2022-05-25,15639
2022-05-26,15074
2022-05-27,5790
2022-05-28,5628
2022-05-29,5675
2022-05-30,5503
2022-05-31,5341
2022-06-01,5867
2022-06-02,6042
2022-06-03,5631
2022-06-04,6084
2022-06-05,6108
2022-06-06,21374
2022-06-07,18687
2022-06-08,20528
2022-06-09,23962
2022-06-10,25829
2022-06-11,6980
2022-06-12,5876
2022-06-13,5437
2022-06-14,5536
2022-06-15,5477
2022-06-16,6213
2022-06-17,6111
2022-06-18,5967
2022-06-19,5866
2022-06-20,6035
2022-06-21,5397
2022-06-22,5328
2022-06-23,5708
2022-06-24,5815
2022-06-25,6368
2022-06-26,6076
2022-06-27,5430
2022-06-28,5928
2022-06-29,6213
2022-06-30,14947
2022-07-01,15094
2022-07-02,15800
2022-07-03,15335
2022-07-04,13519
2022-07-05,16599
2022-07-06,13400
2022-07-07,15242
2022-07-08,16190
2022-07-09,16914
2022-07-10,23144
2022-07-11,22202
2022-07-12,21297
2022-07-13,20787
2022-07-14,25849
2022-07-15,15933
2022-07-16,13602
2022-07-17,16625
2022-07-18,14659
2022-07-19,13568
2022-07-20,12570
2022-07-21,8317
2022-07-22,8275
2022-07-23,7698
2022-07-24,7732
2022-07-25,7166
2022-07-26,6452
2022-07-27,6364
2022-07-28,6656
2022-07-29,7545
2022-07-30,7196
2022-07-31,6838
2022-08-01,7395
2022-08-02,6326
2022-08-03,6939
2022-08-04,6113
2022-08-05,7660
2022-08-06,7221
2022-08-07,7021
2022-08-08,6207
2022-08-09,5635
2022-08-10,6523
2022-08-11,18232
2022-08-12,19217
2022-08-13,20785
2022-08-14,19875
2022-08-15,19712
2022-08-16,6506
2022-08-17,5435
2022-08-18,5690
2022-08-19,5965
2022-08-20,6254
2022-08-21,5569
2022-08-22,5537
2022-08-23,5805
2022-08-24,5303
2022-08-25,8149
2022-08-26,8747
2022-08-27,8069
2022-08-28,8510
2022-08-29,7224
2022-08-30,7141
2022-08-31,7399
2022-09-01,6486
2022-09-02,6975
2022-09-03,6880
2022-09-04,6670
2022-09-05,9581
2022-09-06,7643
2022-09-07,8778
2022-09-08,9799
2022-09-09,10102
2022-09-10,8651
2022-09-11,9573
2022-09-12,10079
2022-09-13,8872
2022-09-14,8783
2022-09-15,9595
2022-09-16,6333
2022-09-17,6522
2022-09-18,5997
2022-09-19,5519
2022-09-20,5338
2022-09-21,5556
2022-09-22,5255
2022-09-23,5974
2022-09-24,6463
2022-09-25,5842
2022-09-26,5378
2022-09-27,5175
2022-09-28,5829
2022-09-29,5852
2022-09-30,6924
2022-10-01,8323
2022-10-02,8056
2022-10-03,8014
2022-10-04,6556
2022-10-05,7225
2022-10-06,7819
2022-10-07,8220
2022-10-08,7707
2022-10-09,7731
2022-10-10,8865
2022-10-11,8339
2022-10-12,7020
2022-10-13,9073
2022-10-14,9304
2022-10-15,8607
2022-10-16,5587
2022-10-17,5411
2022-10-18,5119
2022-10-19,5193
2022-10-20,5581
2022-10-21,5530
2022-10-22,5882
2022-10-23,5608
2022-10-24,5091
2022-10-25,11702
2022-10-26,11529
2022-10-27,15713
2022-10-28,14190
2022-10-29,16725
2022-10-30,12912
2022-10-31,13357
2022-11-01,5306
2022-11-02,5556
2022-11-03,5390
2022-11-04,5506
2022-11-05,5891
2022-11-06,5529
2022-11-07,27175
2022-11-08,24546
2022-11-09,26449
2022-11-10,25318
2022-11-11,28473
2022-11-12,5889
2022-11-13,5875
2022-11-14,5703
2022-11-15,4831
2022-11-16,5021
2022-11-17,4968
2022-11-18,6601
2022-11-19,6870
2022-11-20,7243
2022-11-21,4993
2022-11-22,4504
2022-11-23,4098
2022-11-24,4692
2022-11-25,5747
2022-11-26,5407
2022-11-27,5353
2022-11-28,4687
2022-11-29,4873
2022-11-30,5056
2022-12-01,5348
2022-12-02,6814
2022-12-03,6475
2022-12-04,5044
2022-12-05,5297
2022-12-06,4861
2022-12-07,4634
2022-12-08,5951
2022-12-09,5728
2022-12-10,5192
2022-12-11,4971
2022-12-12,4516
2022-12-13,4939
2022-12-14,4506
2022-12-15,5168
2022-12-16,4882
2022-12-17,5589
2022-12-18,4915
2022-12-19,4233
2022-12-20,3938
2022-12-21,4359
2022-12-22,4632
2022-12-23,6046
2022-12-24,6543
2022-12-25,5207
2022-12-26,5781
2022-12-27,4220
2022-12-28,4166
2022-12-29,5197
2022-12-30,4820
2022-12-31,5730
2023-01-01,5181
2023-01-02,5318
2023-01-03,4595
2023-01-04,5150
2023-01-05,5086
2023-01-06,5137
2023-01-07,5258
2023-01-08,4549
2023-01-09,4688
2023-01-10,4601
2023-01-11,4696
2023-01-12,4571
2023-01-13,6999
2023-01-14,7358
2023-01-15,7144
2023-01-16,5545
2023-01-17,5952
2023-01-18,4167
2023-01-19,4816
2023-01-20,4412
2023-01-21,4656
2023-01-22,4524
2023-01-23,4670
2023-01-24,4239
2023-01-25,4852
2023-01-26,5604
2023-01-27,5891
2023-01-28,5044
2023-01-29,4562
2023-01-30,4378
2023-01-31,4685
2023-02-01,10313
2023-02-02,12063
2023-02-03,13056
2023-02-04,10853
2023-02-05,11558
2023-02-06,10806
2023-02-07,47949
2023-02-08,236865
2023-02-09,219122
2023-02-10,251647
2023-02-11,262085
2023-02-12,50598
2023-02-13,12122
2023-02-14,10017
2023-02-15,9609
2023-02-16,10869
2023-02-17,11210
2023-02-18,11728
2023-02-19,11185
2023-02-20,5927
2023-02-21,5869
2023-02-22,5494
2023-02-23,5270
2023-02-24,5898
2023-02-25,5549
2023-02-26,5284
2023-02-27,4473
2023-02-28,4935
2023-03-01,5071
2023-03-02,5578
2023-03-03,5715
2023-03-04,5568
2023-03-05,4638
2023-03-06,5001
2023-03-07,6129
2023-03-08,6258
2023-03-09,6887
2023-03-10,7574
2023-03-11,8103
2023-03-12,7258
2023-03-13,5404
2023-03-14,4718
2023-03-15,4687
2023-03-16,4708
2023-03-17,5219
2023-03-19,4855
2023-03-20,4259
2023-03-21,4719
2023-03-22,4423
2023-03-23,11040
2023-03-24,11797
2023-03-25,11546
2023-03-26,10805
2023-03-27,11098
2023-03-28,9991
2023-03-29,10926
2023-03-30,12335
2023-03-31,11597
2023-04-01,12515
2023-04-02,11955
2023-04-03,12276
2023-04-05,11215
2023-04-06,12855
2023-04-07,7630
2023-04-08,7150
2023-04-09,6129
2023-04-10,6384
2023-04-11,6041
2023-04-12,6174
2023-04-13,7812
2023-04-14,8593
2023-04-15,8726
2023-04-16,7613
2023-04-17,6335
2023-04-18,6465
2023-04-19,4611
2023-04-20,4960
2023-04-21,5076
2023-04-22,5434
2023-04-23,5039
2023-04-24,5246
2023-04-25,4812
2023-04-26,5192
2023-04-27,5595
2023-04-28,5519
2023-04-29,5665
2023-04-30,5299
2023-05-01,9209
2023-05-02,8318
2023-05-03,8452
2023-05-04,8919
2023-05-05,21438
2023-05-06,15235
2023-05-07,12703
2023-05-08,13711
2023-05-09,12975
2023-05-10,14096
2023-05-11,14010
2023-05-12,15312
2023-05-13,14544
2023-05-14,13499
2023-05-15,13516
2023-05-16,11577
2023-05-17,12513
2023-05-18,13264
2023-05-19,13630
2023-05-20,12577
2023-05-21,12333
2023-05-22,13549
2023-05-23,11011
2023-05-24,11734
2023-05-26,7880
2023-05-27,8062
2023-05-28,7408
2023-05-29,6266
2023-05-30,6634
2023-05-31,6416
2023-06-01,8601
2023-06-02,8286
2023-06-03,8526
2023-06-04,6184
2023-06-05,6534
2023-06-07,6292
2023-06-08,6503
2023-06-09,7337
2023-06-10,6802
2023-06-11,6100
2023-06-12,6112
2023-06-13,4839
2023-06-14,5896
2023-06-15,5935
2023-06-16,6195
2023-06-17,6565
2023-06-18,5389
2023-06-19,5100
2023-06-20,5808
2023-06-21,6056
2023-06-22,6037
2023-06-23,6339
2023-06-24,6350
2023-06-25,5714
2023-06-26,5563
2023-06-27,5426
2023-06-28,5877
2023-06-29,6043
2023-06-30,6752
2023-07-01,6903
2023-07-02,7177
2023-07-03,6630
2023-07-04,16959
2023-07-05,6191
2023-07-06,7050
2023-07-07,7136
2023-07-08,15654
2023-07-09,15150
2023-07-10,20061
2023-07-11,22612
2023-07-12,21637
2023-07-13,23892
2023-07-14,26958
2023-07-15,16031
2023-07-16,14854
2023-07-17,15367
2023-07-18,13913
2023-07-19,48826
2023-07-20,40747
2023-07-21,15444
2023-07-22,15993
2023-07-23,16564
2023-07-24,7447
2023-07-25,7316
2023-07-26,7330
2023-07-27,8819
2023-07-28,8049
2023-07-29,7599
2023-07-30,7118
2023-07-31,7032
2023-08-01,6465
2023-08-02,7158
2023-08-03,7596
2023-08-04,6453
2023-08-05,7022
2023-08-06,6152
2023-08-07,6701
2023-08-08,6724
2023-08-09,6465
2023-08-10,6548
2023-08-11,7706
2023-08-12,6919
2023-08-13,7145
2023-08-14,7074
2023-08-15,7409
2023-08-16,7594
2023-08-17,6747
2023-08-18,6407
2023-08-19,6262
2023-08-20,6262
2023-08-21,6030
2023-08-22,4974
2023-08-23,6031
2023-08-24,5672
2023-08-25,8376
2023-08-26,8995
2023-08-27,7416
2023-08-28,7957
2023-08-29,7777
2023-08-30,8079
2023-08-31,8822
2023-09-01,7894
2023-09-02,7059
2023-09-03,6651
2023-09-04,6081
2023-09-05,8810
2023-09-06,7762
2023-09-07,9415
2023-09-08,11104
2023-09-09,10909
2023-09-10,9565
2023-09-11,9629
2023-09-12,8588
2023-09-13,8262
2023-09-14,10317
2023-09-15,8755
2023-09-16,6983
2023-09-17,6150
2023-09-18,5586
2023-09-19,5745
2023-09-20,5798
2023-09-21,6691
2023-09-22,6739
2023-09-23,6261
2023-09-24,5830
2023-09-25,5463
2023-09-26,5271
2023-09-27,6050
2023-09-28,5966
2023-09-29,7094
2023-09-30,6692
2023-10-01,8384
2023-10-02,9118
2023-10-03,8854
2023-10-04,7959
2023-10-05,8433
2023-10-06,9692
2023-10-07,7983
2023-10-08,8608
2023-10-09,8497
2023-10-10,6736
2023-10-11,8075
2023-10-12,8094
2023-10-13,8987
2023-10-14,8302
2023-10-15,8264
2023-10-16,5770
2023-10-17,5393
2023-10-18,5606
2023-10-19,5721
2023-10-20,5232
2023-10-21,6490
2023-10-22,5277
2023-10-23,5063
2023-10-24,4778
2023-10-25,14678
2023-10-26,13253
2023-10-27,15950
2023-10-28,13898
2023-10-29,14013
2023-10-30,13700
2023-10-31,13782
2023-11-01,5994
2023-11-02,6018
2023-11-03,6736
2023-11-04,5279
2023-11-05,5027
2023-11-06,5444
2023-11-07,5254
2023-11-08,5364
2023-11-09,6209
2023-11-10,5770
2023-11-11,5905
2023-11-12,5905
2023-11-13,5524
2023-11-14,4977
2023-11-15,5496
2023-11-16,5357
2023-11-17,5751
2023-11-18,7131
2023-11-19,6132
2023-11-20,5807
2023-11-21,4974
2023-11-22,5167
2023-11-23,5030
2023-11-24,5909
2023-11-25,5210
2023-11-26,16360
2023-11-27,16394
2023-11-28,14173
2023-11-29,5152
2023-11-30,5381
2023-12-01,6211
2023-12-02,5414
2023-12-03,5657
2023-12-04,5398
2023-12-05,4558
2023-12-06,5475
2023-12-07,5459
2023-12-08,5319
2023-12-09,6041
2023-12-10,5087
2023-12-11,5655
2023-12-12,5049
2023-12-13,5235
2023-12-14,5495
2023-12-15,5417
2023-12-16,5105
2023-12-17,4599
2023-12-18,4663
2023-12-19,3912
2023-12-20,4586
2023-12-21,5046
2023-12-22,4897
2023-12-23,6375
2023-12-24,6044
2023-12-25,5621
2023-12-26,5617
2023-12-27,4332
2023-12-28,4874
2023-12-29,5560
2023-12-30,5239
2023-12-31,5095
2024-01-01,5447
2024-01-02,5091
2024-01-03,5603
2024-01-04,5720
2024-01-05,5512
2024-01-06,5805
2024-01-07,5156
2024-01-08,4996
2024-01-09,4740
2024-01-10,5041
2024-01-11,5588
2024-01-12,5425
2024-01-13,7056
2024-01-14,18824
2024-01-15,19231
2024-01-16,5554
2024-01-17,6323
2024-01-18,5084
2024-01-19,5272
2024-01-20,4690
2024-01-21,4778
2024-01-22,4587
2024-01-23,4145
2024-01-24,4637
2024-01-25,5963
2024-01-26,6472
2024-01-27,5556
2024-01-28,4428
2024-01-29,5035
2024-01-30,4248
2024-01-31,4995
2024-02-01,5713
2024-02-02,5468
2024-02-03,5310
2024-02-04,5122
2024-02-05,4982
2024-02-06,4625
2024-02-07,4947
2024-02-08,5482
2024-02-09,5322
2024-02-10,5386
2024-02-11,5327
2024-02-12,4804
2024-02-13,4860
2024-02-14,4930
2024-02-15,5075
2024-02-16,5137
2024-02-17,4839
2024-02-18,4993
2024-02-19,4131
2024-02-20,4225
2024-02-21,4415
2024-02-22,4184
2024-02-23,4874
2024-02-24,4684
2024-02-25,4372
2024-02-26,4909
2024-02-27,4275
2024-02-28,4370
2024-02-29,5231
2024-03-01,5596
2024-03-02,6000
2024-03-03,5284
2024-03-04,4960
2024-03-05,5193
2024-03-06,4935
2024-03-07,7649
2024-03-08,7369
2024-03-09,6972
2024-03-10,7738
2024-03-11,7168
2024-03-12,6505
2024-03-13,5172
2024-03-14,4829
2024-03-15,5501
2024-03-16,5390
2024-03-17,4951
2024-03-18,4881
2024-03-19,4627
2024-03-20,4474
2024-03-21,4841
2024-03-22,5462
2024-03-23,5047
2024-03-24,4800
2024-03-25,4641
2024-03-26,4459
2024-03-27,4577
2024-03-28,5457
2024-03-29,5312
2024-03-30,5217
2024-03-31,5078
2024-04-01,5891
2024-04-02,5021
2024-04-03,5462
2024-04-04,22863
2024-04-05,5099
2024-04-06,5411
2024-04-07,5345
2024-04-08,5119
2024-04-09,4899
2024-04-10,5233
2024-04-11,5567
2024-04-12,5960
2024-04-13,6975
2024-04-14,7106
2024-04-15,6200
2024-04-16,5461
2024-04-17,6965
2024-04-18,7171
2024-04-19,5941
2024-04-20,5112
2024-04-21,4687
2024-04-22,4481
2024-04-23,4851
2024-04-24,5063
2024-04-25,5688
2024-04-26,5871
2024-04-27,5179
2024-04-28,4530
2024-04-29,5332
2024-04-30,4749
2024-05-01,8752
2024-05-02,8802
2024-05-03,9570
2024-05-04,9539
2024-05-05,8079
2024-05-06,5685
2024-05-07,4788
2024-05-08,6501
2024-05-09,6121
2024-05-10,6268
2024-05-11,6335
2024-05-12,6776
2024-05-13,5541
2024-05-14,5325
2024-05-15,5370
2024-05-16,5931
2024-05-17,6830
2024-05-18,6049
2024-05-19,6006
2024-05-20,5269
2024-05-21,5306
2024-05-22,5119
2024-05-23,6593
2024-05-24,6209
2024-05-25,6247
2024-05-26,5309
2024-05-27,5996
2024-05-28,5560
2024-05-29,5392
2024-05-30,6583
2024-05-31,6853
2024-06-01,6715
2024-06-02,6358
2024-06-03,5854
2024-06-04,5167
2024-06-05,6426
2024-06-06,6224
2024-06-07,7228
2024-06-08,6017
2024-06-09,7048
2024-06-10,6623
2024-06-11,6372
2024-06-12,6069
2024-06-13,6422
2024-06-14,6936
2024-06-15,6293
2024-06-16,6342
2024-06-17,6074
2024-06-18,5630
2024-06-19,6296
2024-06-20,6162
2024-06-21,6302
2024-06-22,5906
2024-06-23,6328
2024-06-24,5983
2024-06-25,5468
2024-06-26,5974
2024-06-27,7052
2024-06-28,6585
2024-06-29,6737
2024-06-30,7013
2024-07-01,6716
2024-07-02,6116
2024-07-03,6950
2024-07-04,7388
2024-07-05,6710
2024-07-06,7262
2024-07-07,7142
2024-07-08,6677
2024-07-09,5805
2024-07-10,9098
2024-07-11,10037
2024-07-12,11223
2024-07-13,11656
2024-07-14,10764
2024-07-15,6606
2024-07-16,5432
2024-07-17,6438
2024-07-18,6723
2024-07-19,7377
2024-07-20,6337
2024-07-21,6311
2024-07-22,6096
2024-07-23,6142
2024-07-25,6696
2024-07-26,6601
2024-07-27,6573
2024-07-28,6341
2024-07-29,6040
2024-07-30,5671
2024-07-31,6488
2024-08-01,6968
2024-08-02,7371
2024-08-03,7815
2024-08-04,6248
2024-08-05,6031
2024-08-06,6468
2024-08-07,6605
2024-08-08,7533
2024-08-09,7052
2024-08-10,7276
2024-08-11,7464
2024-08-12,6657
2024-08-13,5760
2024-08-14,18310
2024-08-15,18318
2024-08-16,19994
2024-08-17,14768
2024-08-18,15539
2024-08-19,14884
2024-08-20,14374
2024-08-21,14874
2024-08-22,15089
2024-08-23,15110
2024-08-24,14162
2024-08-25,20352
2024-08-26,18287
2024-08-27,17993
2024-08-28,18012
2024-08-29,21167
2024-08-30,24994
2024-08-31,22392
2024-09-01,16483
2024-09-02,14177
